"States and selected areas:  Employment status of the civilian noninstitutional population,",,,,,,,,,
1976 to 2025(1) annual averages,,,,,,,,,
,,,,,,,,,
FIPS Code,State and area,Year,Civilian non-institutional population,Civilian labor force,,,,,
,,,,Total,Percent of population,Employment,,Unemployment,
,,,,,,Total,Percent of population,Total,Rate
,,,,,,Labor force,,level,rate
,,,,,,,,,
19,Iowa,2003,"22,57,503   ","16,11,592   ",71.4   ,"15,39,693   ",68.2   ,"71,899   ",4.5   
20,Kansas,2003,"20,42,817   ","14,44,280   ",70.7   ,"13,63,821   ",66.8   ,"80,459   ",5.6   
21,Kentucky,2003,"31,53,571   ","19,64,485   ",62.3   ,"18,43,490   ",58.5   ,"1,20,995   ",6.2   
22,Louisiana,2003,"33,32,747   ","20,29,771   ",60.9   ,"19,03,279   ",57.1   ,"1,26,492   ",6.2   
23,Maine,2003,"10,29,230   ","6,86,675   ",66.7   ,"6,51,581   ",63.3   ,"35,094   ",5.1   
24,Maryland,2003,"41,74,202   ","28,81,310   ",69.0   ,"27,52,590   ",65.9   ,"1,28,720   ",4.5   
25,Massachusetts,2003,"50,13,659   ","34,09,620   ",68.0   ,"32,13,745   ",64.1   ,"1,95,875   ",5.7   
26,Michigan,2003,"76,48,860   ","50,20,319   ",65.6   ,"46,63,537   ",61.0   ,"3,56,782   ",7.1   
27,Minnesota,2003,"38,60,404   ","28,92,770   ",74.9   ,"27,55,268   ",71.4   ,"1,37,502   ",4.8   
28,Mississippi,2003,"21,26,911   ","13,07,387   ",61.5   ,"12,27,417   ",57.7   ,"79,970   ",6.1   
29,Missouri,2003,"43,41,123   ","29,79,055   ",68.6   ,"28,10,056   ",64.7   ,"1,68,999   ",5.7   
30,Montana,2003,"7,10,048   ","4,70,818   ",66.3   ,"4,48,529   ",63.2   ,"22,289   ",4.7   
31,Nebraska,2003,"13,11,811   ","9,70,763   ",74.0   ,"9,32,716   ",71.1   ,"38,047   ",3.9   
32,Nevada,2003,"17,06,574   ","11,59,191   ",67.9   ,"10,98,742   ",64.4   ,"60,449   ",5.2   
33,New Hampshire,2003,"9,90,778   ","7,06,625   ",71.3   ,"6,75,367   ",68.2   ,"31,258   ",4.4   
34,New Jersey,2003,"65,93,594   ","43,58,194   ",66.1   ,"41,03,903   ",62.2   ,"2,54,291   ",5.8   
35,New Mexico,2003,"14,01,961   ","8,85,851   ",63.2   ,"8,33,408   ",59.4   ,"52,443   ",5.9   
36,New York,2003,"1,48,05,524   ","92,71,173   ",62.6   ,"86,78,321   ",58.6   ,"5,92,852   ",6.4   
51000,New York city,2003,"62,91,732   ","36,92,263   ",58.7   ,"33,86,907   ",53.8   ,"3,05,356   ",8.3   
37,North Carolina,2003,"63,95,798   ","42,84,490   ",67.0   ,"40,16,263   ",62.8   ,"2,68,227   ",6.3   
38,North Dakota,2003,"4,90,168   ","3,51,046   ",71.6   ,"3,38,917   ",69.1   ,"12,129   ",3.5   
39,Ohio,2003,"87,47,643   ","58,64,605   ",67.0   ,"54,98,838   ",62.9   ,"3,65,767   ",6.2   
40,Oklahoma,2003,"26,38,423   ","16,92,689   ",64.2   ,"16,01,611   ",60.7   ,"91,078   ",5.4   
41,Oregon,2003,"27,52,028   ","18,43,685   ",67.0   ,"16,96,382   ",61.6   ,"1,47,303   ",8.0   
42,Pennsylvania,2003,"96,31,742   ","61,71,869   ",64.1   ,"58,21,547   ",60.4   ,"3,50,322   ",5.7   
44,Rhode Island,2003,"8,33,297   ","5,59,590   ",67.2   ,"5,28,692   ",63.4   ,"30,898   ",5.5   
45,South Carolina,2003,"31,46,479   ","19,96,734   ",63.5   ,"18,62,178   ",59.2   ,"1,34,556   ",6.7   
46,South Dakota,2003,"5,74,080   ","4,21,078   ",73.3   ,"4,06,457   ",70.8   ,"14,621   ",3.5   
47,Tennessee,2003,"44,95,765   ","29,07,080   ",64.7   ,"27,46,039   ",61.1   ,"1,61,041   ",5.5   
48,Texas,2003,"1,61,02,853   ","1,09,37,075   ",67.9   ,"1,01,98,263   ",63.3   ,"7,38,812   ",6.8   
49,Utah,2003,"16,76,106   ","11,89,047   ",70.9   ,"11,23,019   ",67.0   ,"66,028   ",5.6   
50,Vermont,2003,"4,86,988   ","3,45,383   ",70.9   ,"3,30,368   ",67.8   ,"15,015   ",4.3   
51,Virginia,2003,"55,43,709   ","37,79,071   ",68.2   ,"36,23,509   ",65.4   ,"1,55,562   ",4.1   
53,Washington,2003,"46,60,455   ","31,37,136   ",67.3   ,"29,09,257   ",62.4   ,"2,27,879   ",7.3   
54,West Virginia,2003,"14,39,275   ","7,91,223   ",55.0   ,"7,42,736   ",51.6   ,"48,487   ",6.1   
55,Wisconsin,2003,"42,08,208   ","30,44,885   ",72.4   ,"28,74,059   ",68.3   ,"1,70,826   ",5.6   
56,Wyoming,2003,"3,85,911   ","2,75,100   ",71.3   ,"2,63,138   ",68.2   ,"11,962   ",4.3   
01,Alabama,2004,"34,65,848   ","21,51,545   ",62.1   ,"20,31,308   ",58.6   ,"1,20,237   ",5.6   
02,Alaska,2004,"4,71,187   ","3,37,545   ",71.6   ,"3,12,482   ",66.3   ,"25,063   ",7.4   
04,Arizona,2004,"42,40,607   ","27,54,688   ",65.0   ,"26,17,808   ",61.7   ,"1,36,880   ",5.0   
05,Arkansas,2004,"20,93,114   ","13,05,874   ",62.4   ,"12,32,935   ",58.9   ,"72,939   ",5.6   
06,California,2004,"2,66,27,158   ","1,74,50,100   ",65.5   ,"1,63,63,423   ",61.5   ,"10,86,677   ",6.2   
037,Los Angeles County,2004,"73,69,583   ","47,72,149   ",64.8   ,"44,61,392   ",60.5   ,"3,10,757   ",6.5   
08,Colorado,2004,"34,76,826   ","25,26,819   ",72.7   ,"23,85,758   ",68.6   ,"1,41,061   ",5.6   
09,Connecticut,2004,"26,81,166   ","17,87,054   ",66.7   ,"16,96,908   ",63.3   ,"90,146   ",5.0   
10,Delaware,2004,"6,36,362   ","4,22,219   ",66.3   ,"4,05,265   ",63.7   ,"16,954   ",4.0   
11,District of Columbia,2004,"4,66,729   ","3,13,827   ",67.2   ,"2,90,249   ",62.2   ,"23,578   ",7.5   
12,Florida,2004,"1,36,57,796   ","84,90,612   ",62.2   ,"80,98,429   ",59.3   ,"3,92,183   ",4.6   
13,Georgia,2004,"65,50,470   ","44,21,426   ",67.5   ,"42,10,815   ",64.3   ,"2,10,611   ",4.8   
15,Hawaii,2004,"9,62,115   ","6,25,131   ",65.0   ,"6,04,448   ",62.8   ,"20,683   ",3.3   
16,Idaho,2004,"10,29,396   ","7,03,522   ",68.3   ,"6,69,000   ",65.0   ,"34,522   ",4.9   
17,Illinois,2004,"95,42,226   ","63,39,966   ",66.4   ,"59,46,593   ",62.3   ,"3,93,373   ",6.2   
18,Indiana,2004,"47,27,882   ","31,74,507   ",67.1   ,"30,02,515   ",63.5   ,"1,71,992   ",5.4   
19,Iowa,2004,"22,68,691   ","16,10,772   ",71.0   ,"15,38,230   ",67.8   ,"72,542   ",4.5   
20,Kansas,2004,"20,54,375   ","14,62,541   ",71.2   ,"13,82,138   ",67.3   ,"80,403   ",5.5   
21,Kentucky,2004,"31,72,666   ","19,68,689   ",62.1   ,"18,60,121   ",58.6   ,"1,08,568   ",5.5   
22,Louisiana,2004,"33,49,747   ","20,36,346   ",60.8   ,"19,20,513   ",57.3   ,"1,15,833   ",5.7   
23,Maine,2004,"10,38,963   ","6,88,058   ",66.2   ,"6,56,004   ",63.1   ,"32,054   ",4.7   
24,Maryland,2004,"42,29,733   ","28,90,743   ",68.3   ,"27,66,242   ",65.4   ,"1,24,501   ",4.3   
25,Massachusetts,2004,"50,24,225   ","33,88,266   ",67.4   ,"32,14,624   ",64.0   ,"1,73,642   ",5.1   
26,Michigan,2004,"76,81,710   ","50,39,850   ",65.6   ,"46,89,363   ",61.0   ,"3,50,487   ",7.0   
27,Minnesota,2004,"38,94,061   ","28,95,448   ",74.4   ,"27,61,101   ",70.9   ,"1,34,347   ",4.6   
28,Mississippi,2004,"21,43,525   ","13,19,272   ",61.5   ,"12,37,961   ",57.8   ,"81,311   ",6.2   
29,Missouri,2004,"43,80,051   ","29,89,602   ",68.3   ,"28,14,710   ",64.3   ,"1,74,892   ",5.9   
30,Montana,2004,"7,20,304   ","4,79,189   ",66.5   ,"4,57,509   ",63.5   ,"21,680   ",4.5   
31,Nebraska,2004,"13,21,194   ","9,78,364   ",74.1   ,"9,40,514   ",71.2   ,"37,850   ",3.9   
32,Nevada,2004,"17,78,366   ","11,91,518   ",67.0   ,"11,38,583   ",64.0   ,"52,935   ",4.4   
33,New Hampshire,2004,"10,03,420   ","7,12,730   ",71.0   ,"6,85,603   ",68.3   ,"27,127   ",3.8   
34,New Jersey,2004,"66,29,102   ","43,65,437   ",65.9   ,"41,50,754   ",62.6   ,"2,14,683   ",4.9   
35,New Mexico,2004,"14,26,036   ","8,97,323   ",62.9   ,"8,47,210   ",59.4   ,"50,113   ",5.6   
36,New York,2004,"1,48,89,760   ","93,45,803   ",62.8   ,"88,01,006   ",59.1   ,"5,44,797   ",5.8   
51000,New York city,2004,"63,27,949   ","37,41,386   ",59.1   ,"34,80,314   ",55.0   ,"2,61,072   ",7.0   
37,North Carolina,2004,"64,95,423   ","42,97,751   ",66.2   ,"40,62,474   ",62.5   ,"2,35,277   ",5.5   
38,North Dakota,2004,"4,95,455   ","3,57,970   ",72.3   ,"3,45,867   ",69.8   ,"12,103   ",3.4   
39,Ohio,2004,"87,79,442   ","58,49,311   ",66.6   ,"54,84,505   ",62.5   ,"3,64,806   ",6.2   
40,Oklahoma,2004,"26,54,332   ","17,00,250   ",64.1   ,"16,20,202   ",61.0   ,"80,048   ",4.7   
41,Oregon,2004,"27,78,187   ","18,42,618   ",66.3   ,"17,07,142   ",61.4   ,"1,35,476   ",7.4   
42,Pennsylvania,2004,"96,82,452   ","62,32,546   ",64.4   ,"58,98,367   ",60.9   ,"3,34,179   ",5.4   
44,Rhode Island,2004,"8,35,878   ","5,54,567   ",66.3   ,"5,25,298   ",62.8   ,"29,269   ",5.3   
45,South Carolina,2004,"31,95,378   ","20,43,898   ",64.0   ,"19,02,144   ",59.5   ,"1,41,754   ",6.9   
46,South Dakota,2004,"5,79,976   ","4,24,656   ",73.2   ,"4,09,493   ",70.6   ,"15,163   ",3.6   
47,Tennessee,2004,"45,46,238   ","28,99,831   ",63.8   ,"27,45,192   ",60.4   ,"1,54,639   ",5.3   
48,Texas,2004,"1,63,93,132   ","1,10,35,442   ",67.3   ,"1,03,69,919   ",63.3   ,"6,65,523   ",6.0   
49,Utah,2004,"17,13,327   ","12,19,188   ",71.2   ,"11,58,207   ",67.6   ,"60,981   ",5.0   
50,Vermont,2004,"4,90,578   ","3,46,039   ",70.5   ,"3,33,415   ",68.0   ,"12,624   ",3.6   
51,Virginia,2004,"56,49,795   ","38,23,343   ",67.7   ,"36,80,621   ",65.1   ,"1,42,722   ",3.7   
53,Washington,2004,"47,36,959   ","31,93,687   ",67.4   ,"29,93,829   ",63.2   ,"1,99,858   ",6.3   
54,West Virginia,2004,"14,42,956   ","7,90,484   ",54.8   ,"7,48,031   ",51.8   ,"42,453   ",5.4   
55,Wisconsin,2004,"42,44,664   ","30,32,697   ",71.4   ,"28,81,712   ",67.9   ,"1,50,985   ",5.0   
56,Wyoming,2004,"3,90,620   ","2,77,703   ",71.1   ,"2,67,022   ",68.4   ,"10,681   ",3.8   
01,Alabama,2005,"35,04,605   ","21,53,973   ",61.5   ,"20,58,082   ",58.7   ,"95,891   ",4.5   
02,Alaska,2005,"4,80,459   ","3,44,173   ",71.6   ,"3,20,329   ",66.7   ,"23,844   ",6.9   
04,Arizona,2005,"43,84,158   ","28,25,024   ",64.4   ,"26,94,065   ",61.4   ,"1,30,959   ",4.6   
05,Arkansas,2005,"21,19,774   ","13,37,098   ",63.1   ,"12,66,602   ",59.8   ,"70,496   ",5.3   
06,California,2005,"2,69,16,578   ","1,76,35,649   ",65.5   ,"1,66,85,793   ",62.0   ,"9,49,856   ",5.4   
037,Los Angeles County,2005,"74,07,398   ","48,09,670   ",64.9   ,"45,53,887   ",61.5   ,"2,55,783   ",5.3   
08,Colorado,2005,"35,30,226   ","25,55,671   ",72.4   ,"24,26,252   ",68.7   ,"1,29,419   ",5.1   
09,Connecticut,2005,"26,97,826   ","18,08,542   ",67.0   ,"17,20,558   ",63.8   ,"87,984   ",4.9   
10,Delaware,2005,"6,49,579   ","4,34,842   ",66.9   ,"4,16,905   ",64.2   ,"17,937   ",4.1   
11,District of Columbia,2005,"4,70,857   ","3,19,639   ",67.9   ,"2,98,978   ",63.5   ,"20,661   ",6.5   
12,Florida,2005,"1,40,20,244   ","87,98,562   ",62.8   ,"84,70,043   ",60.4   ,"3,28,519   ",3.7   
13,Georgia,2005,"66,98,125   ","45,48,155   ",67.9   ,"43,07,585   ",64.3   ,"2,40,570   ",5.3   
15,Hawaii,2005,"9,77,419   ","6,41,769   ",65.7   ,"6,23,582   ",63.8   ,"18,187   ",2.8   
16,Idaho,2005,"10,57,530   ","7,28,606   ",68.9   ,"6,99,603   ",66.2   ,"29,003   ",4.0   
17,Illinois,2005,"95,89,886   ","63,97,395   ",66.7   ,"60,30,740   ",62.9   ,"3,66,655   ",5.7   
18,Indiana,2005,"47,68,326   ","32,11,867   ",67.4   ,"30,38,019   ",63.7   ,"1,73,848   ",5.4   
19,Iowa,2005,"22,82,261   ","16,33,163   ",71.6   ,"15,62,784   ",68.5   ,"70,379   ",4.3   
20,Kansas,2005,"20,69,775   ","14,64,280   ",70.7   ,"13,90,052   ",67.2   ,"74,228   ",5.1   
21,Kentucky,2005,"32,02,938   ","19,87,235   ",62.0   ,"18,70,669   ",58.4   ,"1,16,566   ",5.9   
22,Louisiana,2005,"33,01,016   ","20,85,808   ",63.2   ,"19,36,865   ",58.7   ,"1,48,943   ",7.1   
23,Maine,2005,"10,47,371   ","6,97,994   ",66.6   ,"6,63,722   ",63.4   ,"34,272   ",4.9   
24,Maryland,2005,"42,82,596   ","29,42,379   ",68.7   ,"28,19,647   ",65.8   ,"1,22,732   ",4.2   
25,Massachusetts,2005,"50,39,280   ","33,67,755   ",66.8   ,"32,06,455   ",63.6   ,"1,61,300   ",4.8   
26,Michigan,2005,"77,06,251   ","50,51,416   ",65.5   ,"47,10,205   ",61.1   ,"3,41,211   ",6.8   
27,Minnesota,2005,"39,29,624   ","28,81,060   ",73.3   ,"27,62,650   ",70.3   ,"1,18,410   ",4.1   
28,Mississippi,2005,"21,53,619   ","13,22,099   ",61.4   ,"12,20,952   ",56.7   ,"1,01,147   ",7.7   
29,Missouri,2005,"44,26,874   ","30,05,435   ",67.9   ,"28,41,822   ",64.2   ,"1,63,613   ",5.4   
30,Montana,2005,"7,31,011   ","4,86,794   ",66.6   ,"4,66,803   ",63.9   ,"19,991   ",4.1   
31,Nebraska,2005,"13,31,861   ","9,77,778   ",73.4   ,"9,40,654   ",70.6   ,"37,124   ",3.8   
32,Nevada,2005,"18,47,458   ","12,45,381   ",67.4   ,"11,92,952   ",64.6   ,"52,429   ",4.2   
33,New Hampshire,2005,"10,14,574   ","7,23,022   ",71.3   ,"6,96,689   ",68.7   ,"26,333   ",3.6   
34,New Jersey,2005,"66,63,611   ","44,07,346   ",66.1   ,"42,11,307   ",63.2   ,"1,96,039   ",4.4   
35,New Mexico,2005,"14,52,808   ","9,13,623   ",62.9   ,"8,66,018   ",59.6   ,"47,605   ",5.2   
36,New York,2005,"1,49,70,493   ","94,32,563   ",63.0   ,"89,64,859   ",59.9   ,"4,67,704   ",5.0   
51000,New York city,2005,"63,71,373   ","37,74,940   ",59.2   ,"35,61,980   ",55.9   ,"2,12,960   ",5.6   
37,North Carolina,2005,"66,25,458   ","43,67,089   ",65.9   ,"41,39,616   ",62.5   ,"2,27,473   ",5.2   
38,North Dakota,2005,"4,99,138   ","3,61,772   ",72.5   ,"3,49,702   ",70.1   ,"12,070   ",3.3   
39,Ohio,2005,"88,13,660   ","58,75,353   ",66.7   ,"55,27,131   ",62.7   ,"3,48,222   ",5.9   
40,Oklahoma,2005,"26,78,366   ","17,23,091   ",64.3   ,"16,48,183   ",61.5   ,"74,908   ",4.3   
41,Oregon,2005,"28,18,911   ","18,46,155   ",65.5   ,"17,32,344   ",61.5   ,"1,13,811   ",6.2   
42,Pennsylvania,2005,"97,43,069   ","62,82,162   ",64.5   ,"59,68,115   ",61.3   ,"3,14,047   ",5.0   
44,Rhode Island,2005,"8,35,144   ","5,62,093   ",67.3   ,"5,33,200   ",63.8   ,"28,893   ",5.1   
45,South Carolina,2005,"32,55,131   ","20,73,749   ",63.7   ,"19,32,855   ",59.4   ,"1,40,894   ",6.8   
46,South Dakota,2005,"5,85,904   ","4,27,814   ",73.0   ,"4,12,628   ",70.4   ,"15,186   ",3.5   
47,Tennessee,2005,"46,15,968   ","28,99,846   ",62.8   ,"27,40,356   ",59.4   ,"1,59,490   ",5.5   
48,Texas,2005,"1,67,11,799   ","1,12,41,633   ",67.3   ,"1,06,25,308   ",63.6   ,"6,16,325   ",5.5   
49,Utah,2005,"17,55,432   ","12,62,462   ",71.9   ,"12,11,339   ",69.0   ,"51,123   ",4.0   
50,Vermont,2005,"4,93,950   ","3,48,299   ",70.5   ,"3,36,184   ",68.1   ,"12,115   ",3.5   
51,Virginia,2005,"57,48,762   ","39,23,264   ",68.2   ,"37,86,275   ",65.9   ,"1,36,989   ",3.5   
53,Washington,2005,"48,16,419   ","32,64,730   ",67.8   ,"30,82,694   ",64.0   ,"1,82,036   ",5.6   
54,West Virginia,2005,"14,47,621   ","7,97,037   ",55.1   ,"7,56,670   ",52.3   ,"40,367   ",5.1   
55,Wisconsin,2005,"42,81,663   ","30,25,383   ",70.7   ,"28,82,007   ",67.3   ,"1,43,376   ",4.7   
56,Wyoming,2005,"3,95,471   ","2,82,742   ",71.5   ,"2,72,627   ",68.9   ,"10,115   ",3.6   
01,Alabama,2006,"35,55,150   ","21,87,167   ",61.5   ,"20,99,306   ",59.0   ,"87,861   ",4.0   
02,Alaska,2006,"4,90,337   ","3,48,533   ",71.1   ,"3,25,498   ",66.4   ,"23,035   ",6.6   
04,Arizona,2006,"45,29,737   ","29,17,730   ",64.4   ,"27,93,420   ",61.7   ,"1,24,310   ",4.3   
05,Arkansas,2006,"21,51,296   ","13,48,977   ",62.7   ,"12,78,538   ",59.4   ,"70,439   ",5.2   
06,California,2006,"2,71,99,024   ","1,77,85,989   ",65.4   ,"1,69,18,800   ",62.2   ,"8,67,189   ",4.9   
037,Los Angeles County,2006,"74,28,035   ","48,36,781   ",65.1   ,"46,07,660   ",62.0   ,"2,29,121   ",4.7   
08,Colorado,2006,"35,99,875   ","26,19,740   ",72.8   ,"25,09,154   ",69.7   ,"1,10,586   ",4.2   
09,Connecticut,2006,"27,18,712   ","18,47,677   ",68.0   ,"17,66,274   ",65.0   ,"81,403   ",4.4   
10,Delaware,2006,"6,63,125   ","4,45,744   ",67.2   ,"4,29,905   ",64.8   ,"15,839   ",3.6   
11,District of Columbia,2006,"4,75,231   ","3,22,752   ",67.9   ,"3,03,975   ",64.0   ,"18,777   ",5.8   
12,Florida,2006,"1,43,16,372   ","90,83,615   ",63.4   ,"87,85,081   ",61.4   ,"2,98,534   ",3.3   
13,Georgia,2006,"68,54,178   ","46,64,352   ",68.1   ,"44,46,727   ",64.9   ,"2,17,625   ",4.7   
15,Hawaii,2006,"9,92,120   ","6,53,666   ",65.9   ,"6,37,094   ",64.2   ,"16,572   ",2.5   
16,Idaho,2006,"10,87,837   ","7,44,286   ",68.4   ,"7,18,996   ",66.1   ,"25,290   ",3.4   
17,Illinois,2006,"96,49,686   ","64,97,428   ",67.3   ,"61,98,292   ",64.2   ,"2,99,136   ",4.6   
18,Indiana,2006,"48,14,806   ","32,46,997   ",67.4   ,"30,85,021   ",64.1   ,"1,61,976   ",5.0   
19,Iowa,2006,"22,99,493   ","16,61,624   ",72.3   ,"16,00,648   ",69.6   ,"60,976   ",3.7   
20,Kansas,2006,"20,83,433   ","14,69,690   ",70.5   ,"14,04,996   ",67.4   ,"64,694   ",4.4   
21,Kentucky,2006,"32,40,745   ","20,23,550   ",62.4   ,"19,07,888   ",58.9   ,"1,15,662   ",5.7   
22,Louisiana,2006,"32,10,365   ","20,11,802   ",62.7   ,"19,28,805   ",60.1   ,"82,997   ",4.1   
23,Maine,2006,"10,55,787   ","7,03,976   ",66.7   ,"6,70,942   ",63.5   ,"33,034   ",4.7   
24,Maryland,2006,"43,28,655   ","30,01,305   ",69.3   ,"28,86,004   ",66.7   ,"1,15,301   ",3.8   
25,Massachusetts,2006,"50,63,618   ","33,93,358   ",67.0   ,"32,33,866   ",63.9   ,"1,59,492   ",4.7   
26,Michigan,2006,"77,27,757   ","50,29,675   ",65.1   ,"46,84,099   ",60.6   ,"3,45,576   ",6.9   
27,Minnesota,2006,"39,72,780   ","28,90,049   ",72.7   ,"27,72,715   ",69.8   ,"1,17,334   ",4.1   
28,Mississippi,2006,"21,60,958   ","12,86,825   ",59.5   ,"12,05,091   ",55.8   ,"81,734   ",6.4   
29,Missouri,2006,"44,77,756   ","30,31,367   ",67.7   ,"28,83,534   ",64.4   ,"1,47,833   ",4.9   
30,Montana,2006,"7,43,029   ","4,97,506   ",67.0   ,"4,80,795   ",64.7   ,"16,711   ",3.4   
31,Nebraska,2006,"13,42,809   ","9,77,511   ",72.8   ,"9,47,634   ",70.6   ,"29,877   ",3.1   
32,Nevada,2006,"19,18,391   ","13,15,823   ",68.6   ,"12,61,222   ",65.7   ,"54,601   ",4.1   
33,New Hampshire,2006,"10,26,601   ","7,28,766   ",71.0   ,"7,03,239   ",68.5   ,"25,527   ",3.5   
34,New Jersey,2006,"66,97,604   ","44,60,951   ",66.6   ,"42,52,563   ",63.5   ,"2,08,388   ",4.7   
35,New Mexico,2006,"14,81,197   ","9,24,806   ",62.4   ,"8,85,867   ",59.8   ,"38,939   ",4.2   
36,New York,2006,"1,50,54,985   ","94,92,466   ",63.1   ,"90,67,631   ",60.2   ,"4,24,835   ",4.5   
51000,New York city,2006,"64,14,818   ","37,98,521   ",59.2   ,"36,14,761   ",56.4   ,"1,83,760   ",4.8   
37,North Carolina,2006,"67,88,308   ","44,87,934   ",66.1   ,"42,76,081   ",63.0   ,"2,11,853   ",4.7   
38,North Dakota,2006,"5,02,868   ","3,68,737   ",73.3   ,"3,57,207   ",71.0   ,"11,530   ",3.1   
39,Ohio,2006,"88,51,976   ","59,53,873   ",67.3   ,"56,30,797   ",63.6   ,"3,23,076   ",5.4   
40,Oklahoma,2006,"27,14,720   ","17,28,310   ",63.7   ,"16,61,009   ",61.2   ,"67,301   ",3.9   
41,Oregon,2006,"28,70,940   ","18,77,712   ",65.4   ,"17,76,697   ",61.9   ,"1,01,015   ",5.4   
42,Pennsylvania,2006,"98,16,897   ","63,28,844   ",64.5   ,"60,31,354   ",61.4   ,"2,97,490   ",4.7   
44,Rhode Island,2006,"8,35,149   ","5,70,311   ",68.3   ,"5,40,396   ",64.7   ,"29,915   ",5.2   
45,South Carolina,2006,"33,31,133   ","21,53,884   ",64.7   ,"20,17,604   ",60.6   ,"1,36,280   ",6.3   
46,South Dakota,2006,"5,92,884   ","4,30,542   ",72.6   ,"4,17,669   ",70.4   ,"12,873   ",3.0   
47,Tennessee,2006,"46,99,491   ","30,15,579   ",64.2   ,"28,58,723   ",60.8   ,"1,56,856   ",5.2   
48,Texas,2006,"1,71,13,167   ","1,14,12,626   ",66.7   ,"1,08,46,938   ",63.4   ,"5,65,688   ",5.0   
49,Utah,2006,"18,08,078   ","13,09,134   ",72.4   ,"12,71,905   ",70.3   ,"37,229   ",2.8   
50,Vermont,2006,"4,97,567   ","3,53,704   ",71.1   ,"3,40,675   ",68.5   ,"13,029   ",3.7   
51,Virginia,2006,"58,40,360   ","40,05,004   ",68.6   ,"38,82,083   ",66.5   ,"1,22,921   ",3.1   
53,Washington,2006,"49,14,701   ","33,27,767   ",67.7   ,"31,62,295   ",64.3   ,"1,65,472   ",5.0   
54,West Virginia,2006,"14,55,107   ","8,07,645   ",55.5   ,"7,69,201   ",52.9   ,"38,444   ",4.8   
55,Wisconsin,2006,"43,19,539   ","30,62,968   ",70.9   ,"29,19,593   ",67.6   ,"1,43,375   ",4.7   
56,Wyoming,2006,"4,02,734   ","2,89,368   ",71.9   ,"2,80,465   ",69.6   ,"8,903   ",3.1   
01,Alabama,2007,"35,96,540   ","22,00,296   ",61.2   ,"21,10,783   ",58.7   ,"89,513   ",4.1   
02,Alaska,2007,"4,96,259   ","3,50,198   ",70.6   ,"3,28,314   ",66.2   ,"21,884   ",6.2   
04,Arizona,2007,"46,40,992   ","29,55,547   ",63.7   ,"28,45,742   ",61.3   ,"1,09,805   ",3.7   
05,Arkansas,2007,"21,76,049   ","13,54,837   ",62.3   ,"12,81,741   ",58.9   ,"73,096   ",5.4   
06,California,2007,"2,74,93,128   ","1,80,68,852   ",65.7   ,"1,71,05,398   ",62.2   ,"9,63,454   ",5.3   
037,Los Angeles County,2007,"74,59,989   ","49,11,024   ",65.8   ,"46,61,349   ",62.5   ,"2,49,675   ",5.1   
08,Colorado,2007,"36,67,403   ","26,63,198   ",72.6   ,"25,65,508   ",70.0   ,"97,690   ",3.7   
09,Connecticut,2007,"27,36,710   ","18,76,029   ",68.6   ,"17,91,089   ",65.4   ,"84,940   ",4.5   
10,Delaware,2007,"6,74,697   ","4,49,279   ",66.6   ,"4,33,960   ",64.3   ,"15,319   ",3.4   
11,District of Columbia,2007,"4,79,274   ","3,30,000   ",68.9   ,"3,11,724   ",65.0   ,"18,276   ",5.5   
12,Florida,2007,"1,45,18,790   ","92,70,476   ",63.9   ,"88,99,131   ",61.3   ,"3,71,345   ",4.0   
13,Georgia,2007,"70,00,739   ","47,63,258   ",68.0   ,"45,46,117   ",64.9   ,"2,17,141   ",4.6   
15,Hawaii,2007,"10,05,246   ","6,57,904   ",65.4   ,"6,39,765   ",63.6   ,"18,139   ",2.8   
16,Idaho,2007,"11,14,320   ","7,55,075   ",67.8   ,"7,32,588   ",65.7   ,"22,487   ",3.0   
17,Illinois,2007,"97,13,026   ","66,13,501   ",68.1   ,"62,76,771   ",64.6   ,"3,36,730   ",5.1   
18,Indiana,2007,"48,58,106   ","32,14,971   ",66.2   ,"30,65,786   ",63.1   ,"1,49,185   ",4.6   
19,Iowa,2007,"23,15,698   ","16,69,120   ",72.1   ,"16,07,120   ",69.4   ,"62,000   ",3.7   
20,Kansas,2007,"21,00,229   ","14,82,598   ",70.6   ,"14,19,333   ",67.6   ,"63,265   ",4.3   
21,Kentucky,2007,"32,68,543   ","20,32,678   ",62.2   ,"19,23,418   ",58.8   ,"1,09,260   ",5.4   
22,Louisiana,2007,"33,03,666   ","20,37,535   ",61.7   ,"19,54,309   ",59.2   ,"83,226   ",4.1   
23,Maine,2007,"10,62,720   ","7,03,522   ",66.2   ,"6,70,451   ",63.1   ,"33,071   ",4.7   
24,Maryland,2007,"43,66,011   ","30,12,554   ",69.0   ,"29,08,634   ",66.6   ,"1,03,920   ",3.4   
25,Massachusetts,2007,"51,00,266   ","34,13,152   ",66.9   ,"32,59,639   ",63.9   ,"1,53,513   ",4.5   
26,Michigan,2007,"77,32,589   ","49,72,072   ",64.3   ,"46,20,172   ",59.7   ,"3,51,900   ",7.1   
27,Minnesota,2007,"40,14,236   ","29,00,078   ",72.2   ,"27,66,647   ",68.9   ,"1,33,431   ",4.6   
28,Mississippi,2007,"21,86,098   ","13,00,655   ",59.5   ,"12,20,905   ",55.8   ,"79,750   ",6.1   
29,Missouri,2007,"45,21,278   ","30,52,842   ",67.5   ,"28,97,228   ",64.1   ,"1,55,614   ",5.1   
